,datetime,loss,accuracy
0,2019-06-21 19:17:29.453614,2.3263543,12.549999356269836
1000,2019-06-21 19:17:41.484309,0.9901706,65.16000032424927
2000,2019-06-21 19:17:53.370096,0.84039783,70.84999680519104
3000,2019-06-21 19:18:05.253368,0.751336,74.34999942779541
4000,2019-06-21 19:18:17.177558,0.6959901,76.16000175476074
5000,2019-06-21 19:18:29.081422,0.6969721,76.45000219345093
6000,2019-06-21 19:18:41.145328,0.65438336,77.91999578475952
7000,2019-06-21 19:18:52.978668,0.6587135,77.42999792098999
8000,2019-06-21 19:19:04.861748,0.64333373,77.96000242233276
9000,2019-06-21 19:19:16.848978,0.6358406,79.0399968624115
10000,2019-06-21 19:19:28.791996,0.7084929,76.23000144958496
11000,2019-06-21 19:19:40.727255,0.64938974,78.21999788284302
12000,2019-06-21 19:19:52.584142,0.6475341,78.63000631332397
13000,2019-06-21 19:20:04.508305,0.53826034,82.06999897956848
14000,2019-06-21 19:20:16.431677,0.53799725,82.17999339103699
15000,2019-06-21 19:20:28.457024,0.5440191,81.98000192642212
16000,2019-06-21 19:20:40.520261,0.5449605,81.97000622749329
17000,2019-06-21 19:20:52.434534,0.5474545,81.85999989509583
18000,2019-06-21 19:21:04.396504,0.5489326,81.5999984741211
19000,2019-06-21 19:21:16.250550,0.5436679,82.0199966430664
20000,2019-06-21 19:21:28.308970,0.5566843,81.58999681472778
21000,2019-06-21 19:21:40.191590,0.5502807,81.85999989509583
22000,2019-06-21 19:21:52.247962,0.5436966,82.43999481201172
23000,2019-06-21 19:22:04.194643,0.54441303,82.26999044418335
24000,2019-06-21 19:22:16.235081,0.55635965,81.58999681472778
25000,2019-06-21 19:22:28.234865,0.5354997,82.22000002861023
26000,2019-06-21 19:22:40.227639,0.5310278,82.46999979019165
27000,2019-06-21 19:22:52.179061,0.5275125,82.60000348091125
28000,2019-06-21 19:23:04.039767,0.52636105,82.60000348091125
29000,2019-06-21 19:23:16.036241,0.5258717,82.6799988746643
30000,2019-06-21 19:23:27.948741,0.5256882,82.64999389648438
31000,2019-06-21 19:23:39.991128,0.5252438,82.56999850273132
32000,2019-06-21 19:23:51.947342,0.5247432,82.4999988079071
33000,2019-06-21 19:24:03.794554,0.52455956,82.53000378608704
34000,2019-06-21 19:24:15.763648,0.5240057,82.55000114440918
