n,lam,vtu,f_lam
2.0,1.0,-0.9990055059470582,-0.5833122380574481
2.0,1.0,-0.7034260650402497,-0.4139266558463423
2.0,1.0,-0.6017196693598832,-0.35416577830385293
2.0,1.0,-0.12869751479440378,-0.0787733813344493
2.0,1.0,-0.0780299542818153,-0.03825401363799053
2.0,1.0,0.14384607431038315,0.08297547131137904
2.0,1.0,0.5144209786264644,0.30101954457447117
2.0,1.0,0.7878264530463073,0.46458428072813046
2.0,1.0,0.8817367963867891,0.5142910637673117
2.0,1.0,0.9834035564372319,0.5788296351090964
5.0,2.0,-0.5839752241582143,-0.9401284656130178
5.0,2.0,-0.5715964229187452,-0.9216358704343002
5.0,2.0,-0.5644895889853299,-0.8993076485831418
5.0,2.0,-0.2884734812831128,-0.45720629552253633
5.0,2.0,-0.24620608978934178,-0.39006119654168164
5.0,2.0,-0.219006284296814,-0.3414971348693006
5.0,2.0,-0.0244038971786098,-0.04250696159192724
5.0,2.0,0.02210490904200163,0.026934845117880492
5.0,2.0,0.4066345656780811,0.6508804765938898
5.0,2.0,0.42224810366095766,0.6743786053269502
10.0,3.0,-0.2805344735679477,-0.8541507892889935
10.0,3.0,-0.2738761989503024,-0.8203646275590525
10.0,3.0,-0.1941270800889225,-0.5912929314241273
10.0,3.0,-0.12775838145761392,-0.39701595563337216
10.0,3.0,-0.08667562572436929,-0.25313110544951417
10.0,3.0,-0.03979076544972539,-0.12094544953185711
10.0,3.0,0.06626464277662177,0.20646554003135084
10.0,3.0,0.07258538654676341,0.2233625789028712
10.0,3.0,0.4844437896975079,1.4653709806328254
10.0,3.0,0.5136394475024292,1.5529241723189686
25.0,4.0,-0.2989574666839624,-1.3950270076628857
25.0,4.0,-0.1638485307402115,-0.7579758291252974
25.0,4.0,-0.14447833025768678,-0.659564695075379
25.0,4.0,0.019430439556583995,0.09516312027409729
25.0,4.0,0.027092687421763358,0.09811143501164195
25.0,4.0,0.05191340721677013,0.2454480817832435
25.0,4.0,0.18497536798593786,0.8539128527237005
25.0,4.0,0.1864684065087947,0.8765381121581904
25.0,4.0,0.25322214115075115,1.1705512370701567
25.0,4.0,0.2764161475309534,1.2789659116605574
